Datetime,ssrdc,ssrd,t2m,v10,u10
2023-01-01 07:00:00,0.0,0.0,295.11255,-4.7253942,-4.2350607
2023-01-01 08:00:00,160.17567,138.23666,295.2776,-5.113454,-4.2027826
2023-01-01 09:00:00,390.08237,348.21603,296.0359,-5.100318,-4.010708
2023-01-01 10:00:00,598.25415,518.41785,297.20093,-4.719576,-3.801077
2023-01-01 11:00:00,755.87305,709.01196,298.52417,-4.38435,-3.7816315
2023-01-01 12:00:00,847.0611,826.38806,299.67798,-3.9771872,-3.7290192
2023-01-01 13:00:00,864.8839,850.70026,300.58105,-3.4459505,-3.5552254
2023-01-01 14:00:00,808.6411,800.19916,301.22192,-2.948308,-3.2589045
2023-01-01 15:00:00,682.397,683.4339,301.58252,-2.6101656,-3.0545816
2023-01-01 16:00:00,498.84277,498.86557,301.646,-2.4903545,-3.0321493
2023-01-01 17:00:00,278.4689,275.30832,301.40796,-2.5785866,-3.3758545
2023-01-01 18:00:00,67.187775,65.8,300.72217,-2.8918333,-3.6241808
2023-01-01 19:00:00,0.0,0.0,299.79468,-3.6228018,-4.1124983
2023-01-01 20:00:00,,,299.37646,-4.266469,-4.3040752
2023-01-01 21:00:00,,,298.88623,-4.4634924,-4.0510836
2023-01-01 22:00:00,,,298.49463,-4.5708075,-3.6327639
2023-01-01 23:00:00,,,298.1516,-4.5602617,-3.1360521
2023-01-02 00:00:00,,,297.87524,-4.551467,-2.6323528
2023-01-02 01:00:00,,,297.69336,-4.614461,-2.4495935
2023-01-02 02:00:00,,,297.65332,-4.733878,-2.6397438
2023-01-02 03:00:00,,,297.58838,-4.9691744,-3.106368
2023-01-02 04:00:00,,,297.4458,-5.1012306,-3.6113691
2023-01-02 05:00:00,,,297.20068,-4.968033,-3.8682814
2023-01-02 06:00:00,,,296.9331,-4.7549295,-3.920394
2023-01-02 07:00:00,0.0,0.0,296.4104,-4.280102,-3.478691
2023-01-02 08:00:00,143.46877,88.76842,296.6941,-4.139264,-3.6238804
2023-01-02 09:00:00,362.1377,197.90091,297.0371,-3.8627272,-3.8139114
2023-01-02 10:00:00,563.5088,426.0552,297.95532,-3.590148,-3.8492432
2023-01-02 11:00:00,718.2136,605.3398,299.06738,-3.2858868,-3.8681297
2023-01-02 12:00:00,809.79083,669.099,299.98438,-3.001976,-3.697937
2023-01-02 13:00:00,830.31085,731.2158,300.82275,-2.5572653,-3.3977823
2023-01-02 14:00:00,778.07086,715.4789,301.39038,-2.0416718,-3.2285204
2023-01-02 15:00:00,657.5331,599.3286,301.77466,-1.524292,-3.3926134
2023-01-02 16:00:00,480.22223,319.53638,301.48022,-1.4067421,-3.6840897
2023-01-02 17:00:00,267.41943,180.49611,301.1394,-1.6414852,-3.9232893
2023-01-02 18:00:00,65.19278,59.74889,300.53564,-1.976161,-3.9249706
2023-01-02 19:00:00,0.0,0.0,299.29956,-2.4461432,-4.1163692
2023-01-02 20:00:00,,,299.14478,-3.047614,-4.5653543
2023-01-02 21:00:00,,,298.77783,-3.2605457,-4.4816732
2023-01-02 22:00:00,,,298.4226,-3.6198883,-3.963459
2023-01-02 23:00:00,,,298.114,-3.8614597,-3.4705706
2023-01-03 00:00:00,,,297.88257,-3.896408,-3.2622232
2023-01-03 01:00:00,,,297.69507,-4.044984,-3.2518835
2023-01-03 02:00:00,,,297.43872,-4.32302,-3.290372
2023-01-03 03:00:00,,,297.21704,-4.522196,-3.3760262
2023-01-03 04:00:00,,,296.98853,-4.634322,-3.639574
2023-01-03 05:00:00,,,296.70435,-4.7546835,-3.8988562
2023-01-03 06:00:00,,,296.3452,-4.8098145,-3.871664
2023-01-03 07:00:00,0.0,0.0,296.33618,-4.856552,-3.0355406
2023-01-03 08:00:00,145.93837,144.66965,296.77368,-4.9474735,-3.3161268
2023-01-03 09:00:00,368.58868,367.32355,297.63794,-4.324212,-3.6575232
2023-01-03 10:00:00,572.63965,570.805,298.83203,-3.7168064,-3.6467352
2023-01-03 11:00:00,729.18054,726.54846,300.09937,-3.3671474,-3.5001745
2023-01-03 12:00:00,822.41864,818.6522,301.2295,-2.6703825,-3.2202654
2023-01-03 13:00:00,844.1139,835.9489,302.03784,-1.6188593,-3.10748
2023-01-03 14:00:00,791.56586,784.8431,302.5901,-0.47738743,-3.0518541
2023-01-03 15:00:00,670.56665,593.5147,302.53467,0.26459885,-2.6021109
2023-01-03 16:00:00,493.165,352.29666,302.26392,0.38536453,-1.8756733
2023-01-03 17:00:00,278.86667,193.48445,301.83545,0.14879894,-1.2227526
2023-01-03 18:00:00,69.92389,57.851112,301.27246,-0.31232738,-0.5440998
2023-01-03 19:00:00,0.0,0.0,300.37744,-2.0247135,-0.6922817
2023-01-03 20:00:00,,,300.76123,-2.736559,-1.217907
2023-01-03 21:00:00,,,300.95898,-3.3257666,-2.347952
2023-01-03 22:00:00,,,300.58813,-3.394143,-2.934205
2023-01-03 23:00:00,,,300.1543,-3.6249266,-2.9136925
2023-01-04 00:00:00,,,299.72607,-4.2944765,-2.6927996
2023-01-04 01:00:00,,,299.3098,-5.0713243,-2.4942122
2023-01-04 02:00:00,,,298.8816,-5.52721,-2.7163553
2023-01-04 03:00:00,,,298.39746,-5.6726103,-3.3091927
2023-01-04 04:00:00,,,297.8811,-5.480151,-3.7979412
2023-01-04 05:00:00,,,297.3711,-5.196186,-4.148285
2023-01-04 06:00:00,,,296.9475,-4.925171,-4.250758
2023-01-04 07:00:00,0.0,0.0,296.83862,-4.7585735,-3.9747229
2023-01-04 08:00:00,139.72694,133.96751,297.1438,-4.8125343,-4.121064
2023-01-04 09:00:00,359.9529,338.32278,297.90454,-4.4611816,-4.0039635
2023-01-04 10:00:00,563.95734,554.1993,299.0952,-4.0224133,-3.775813
2023-01-04 11:00:00,721.44916,718.864,300.3833,-3.5819473,-3.5900803
2023-01-04 12:00:00,816.4975,815.60474,301.47998,-2.9324942,-3.3592806
2023-01-04 13:00:00,840.3075,839.62054,302.2671,-2.1512737,-3.1484327
2023-01-04 14:00:00,790.75055,790.9686,302.7517,-1.2625132,-2.7899323
2023-01-04 15:00:00,671.67694,664.76697,303.0327,-0.47576332,-2.2790089
2023-01-04 16:00:00,496.02554,455.15,302.83618,0.053765297,-1.8505745
2023-01-04 17:00:00,282.7,158.635,302.21118,0.18513489,-1.4432678
2023-01-04 18:00:00,72.44,55.805,301.7024,-0.29242706,-1.4070587
2023-01-04 19:00:00,0.0,-0.06555556,300.88452,-1.9568653,-1.245204
2023-01-04 20:00:00,,,300.86963,-2.5143442,-1.9359217
2023-01-04 21:00:00,,,300.64697,-2.710905,-2.5803232
2023-01-04 22:00:00,,,300.26538,-2.8132238,-2.7412233
2023-01-04 23:00:00,,,299.87134,-3.1724176,-2.7213373
2023-01-05 00:00:00,,,299.40845,-3.5598183,-2.4601488
2023-01-05 01:00:00,,,299.01392,-3.9540825,-2.2440662
2023-01-05 02:00:00,,,298.656,-4.269656,-2.289218
2023-01-05 03:00:00,,,298.3296,-4.571165,-2.6866674
2023-01-05 04:00:00,,,298.0056,-4.8041534,-3.4071646
2023-01-05 05:00:00,,,297.542,-4.8386602,-3.920989
2023-01-05 06:00:00,,,297.07056,-4.771595,-3.9443426
2023-01-05 07:00:00,0.0,0.0,296.97046,-4.862896,-3.4816923
2023-01-05 08:00:00,141.47218,118.1839,297.24023,-5.0049686,-3.6192684
2023-01-05 09:00:00,361.76694,338.33612,297.92456,-4.7003145,-3.6374292
2023-01-05 10:00:00,564.31976,537.9752,299.04834,-4.3131304,-3.4295502
2023-01-05 11:00:00,719.6764,681.22534,300.33545,-3.9105568,-3.4487438
2023-01-05 12:00:00,813.23975,742.93054,301.438,-3.4261904,-3.6195707
2023-01-05 13:00:00,836.5072,769.85803,302.3186,-2.8325748,-3.8276129
2023-01-05 14:00:00,787.2683,723.39886,302.8562,-2.2519684,-4.042884
2023-01-05 15:00:00,669.5967,610.9239,302.95288,-1.6350584,-4.1772127
2023-01-05 16:00:00,494.93723,442.24026,302.81396,-1.4269438,-4.395035
2023-01-05 17:00:00,282.70667,227.38445,302.43628,-1.799016,-4.2333937
2023-01-05 18:00:00,73.592224,57.196667,301.97534,-1.9113846,-3.5448418
2023-01-05 19:00:00,0.0,0.0,301.28467,-2.4467878,-2.952962
2023-01-05 20:00:00,,,300.99,-2.5326595,-2.860135
2023-01-05 21:00:00,,,300.62378,-2.4564323,-2.5237494
