Datetime,lcc,mcc,hcc,tcc,CI_RGB_interpolated,CSI
2023-01-01 00:00:00,,,,,,
2023-01-01 00:15:00,,,,,,
2023-01-01 00:30:00,,,,,,
2023-01-01 00:45:00,,,,,,
2023-01-01 01:00:00,,,,,,
2023-01-01 01:15:00,,,,,,
2023-01-01 01:30:00,,,,,,
2023-01-01 01:45:00,,,,,,
2023-01-01 02:00:00,,,,,,
2023-01-01 02:15:00,,,,,,
2023-01-01 02:30:00,,,,,,
2023-01-01 02:45:00,,,,,,
2023-01-01 03:00:00,,,,,,
2023-01-01 03:15:00,,,,,,
2023-01-01 03:30:00,,,,,,
2023-01-01 03:45:00,,,,,,
2023-01-01 04:00:00,,,,,,
2023-01-01 04:15:00,,,,,,
2023-01-01 04:30:00,,,,,,
2023-01-01 04:45:00,,,,,,
2023-01-01 05:00:00,,,,,,
2023-01-01 05:15:00,,,,,,
2023-01-01 05:30:00,,,,,,
2023-01-01 05:45:00,,,,,,
2023-01-01 06:00:00,,,,,,
2023-01-01 06:15:00,,,,,,
2023-01-01 06:30:00,,,,,,
2023-01-01 06:45:00,,,,,,
2023-01-01 07:00:00,0.022247314,0.0,0.92996216,0.93551636,,
2023-01-01 07:15:00,0.016685486,0.0,0.7451172,0.74928284,,
2023-01-01 07:30:00,0.011123657,0.0,0.5602722,0.5630493,,
2023-01-01 07:45:00,0.0055618286,0.0,0.37542725,0.3768158,,
2023-01-01 08:00:00,0.0,0.0,0.19058228,0.19058228,,
2023-01-01 08:15:00,0.0,0.0,0.1429367,0.1429367,,
2023-01-01 08:30:00,0.0,0.0,0.09529114,0.09529114,,
2023-01-01 08:45:00,0.0,0.0,0.04764557,0.04764557,,
2023-01-01 09:00:00,0.0,0.0,0.0,0.0,,
2023-01-01 09:15:00,0.0,0.0,0.0,0.0,,
2023-01-01 09:30:00,0.0,0.0,0.0,0.0,,
2023-01-01 09:45:00,0.0,0.0,0.0,0.0,,
2023-01-01 10:00:00,0.0,0.0,0.0,0.0,,
2023-01-01 10:15:00,0.0,0.0,0.002357483,0.002357483,,
2023-01-01 10:30:00,0.0,0.0,0.004714966,0.004714966,,
2023-01-01 10:45:00,0.0,0.0,0.0070724487,0.0070724487,,
2023-01-01 11:00:00,0.0,0.0,0.009429932,0.009429932,,
2023-01-01 11:15:00,0.0,0.0,0.032913208,0.032913208,,
2023-01-01 11:30:00,0.0,0.0,0.056396484,0.056396484,,
2023-01-01 11:45:00,0.0,0.0,0.07987976,0.07987976,,
2023-01-01 12:00:00,0.0,0.0,0.10336304,0.10336304,,
2023-01-01 12:15:00,0.0,0.0,0.12107849,0.12107849,,
2023-01-01 12:30:00,0.0,0.0,0.13879395,0.13879395,,
2023-01-01 12:45:00,0.0,0.0,0.1565094,0.1565094,,
2023-01-01 13:00:00,0.0,0.0,0.17422485,0.17422485,,
2023-01-01 13:15:00,0.0,0.0,0.14421082,0.14421082,,
2023-01-01 13:30:00,0.0,0.0,0.11419678,0.11419678,,
2023-01-01 13:45:00,0.0,0.0,0.08418274,0.08418274,,
2023-01-01 14:00:00,0.0,0.0,0.0541687,0.0541687,,
2023-01-01 14:15:00,0.0,0.0,0.043571472,0.043571472,,
2023-01-01 14:30:00,0.0,0.0,0.032974243,0.032974243,,
2023-01-01 14:45:00,0.0,0.0,0.022377014,0.022377014,,
2023-01-01 15:00:00,0.0,0.0,0.011779785,0.011779785,,
